champion_name,skill_name,skill_description
Lua,Splinter Arrow,Attacks 1 enemy. Deals 50% of the inflicted damage to all enemies if this attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Lua,Hail of Arrows,Attacks all enemies 3 times. Each critical hit heals this Champion by 2.5% HP.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Cooldown -1
Lua,Lucky Shot,Attacks 1 enemy. This attack fully depletes the Turn Meter. Will ignore [Shield] and [Block Damage] buffs.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Cooldown -1
Luria,Cursed Sword,Attacks 1 enemy. Has a 50% chance of placing a 60% [Decrease DEF] debuff OR a 100% [Heal Reduction] debuff OR a 30% [Decrease SPD] debuff for 2 turns.<br>Damage based on: [ATK] RB Heal Reduction BF Decrease SPD<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Damage +10%<br>Lvl. 7 Buff/Debuff Chance +10%
Luria,Mark of Fear,Attacks all enemies. Has a 50% chance of placing a [Freeze] debuff for 1 turn. Enemies killed by this skill cannot be revived.<br>Damage based on: [ATK] 8° Block Revive<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Damage +10%<br>Lvl. 6 Buff/Debuff Chance +15%
Luria,Hex,Attacks 1 enemy. Removes all buffs. Also has an 80% chance of placing a [Block Buffs] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Buff/Debuff Chance +10%
Psylar,Surge,Attacks all enemies.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Psylar,Toxic Cloud,Attacks all enemies. Has an 80% chance of placing a 50% [Decrease ACC] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
Psylar,Leaden Legs,Places a 30% [Decrease SPD] debuff on all enemies for 2 turns. Decreases the Turn Meter of all enemies by 15%.<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1
Crimson Helm,Sucker Punch,Attacks 1 enemy. Has a 30% chance of placing a 50% [Decrease ATK] debuff for 1 turn.<br>Damage based on: [ATK] [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +10%
Crimson Helm,Vile Tongue,Attacks 4 times at random. Each hit has a 75% chance of placing a [Provoke] debuff for 1 turn. Places a [Block Damage] buff on this Champion for 1 turn.<br>Damage based on: [DEF]<br>Lvl. 2 Buff/Debuff Chance +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Cooldown -1
Crimson Helm,En Garde,Places a [Revive on Death] buff and a 60% [Increase DEF] buff on all allies for 2 turns.<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1
Delver,Necrotic Toxin,Attacks 1 enemy. Has a 45% chance of placing a 100% [Heal Reduction] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +10%
Delver,Mark for Death,Attacks 1 enemy. Places a 25% [Weaken] debuff on the target for 3 turns if the target has a [Heal Reduction] debuff. This debuff cannot be resisted.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1
Delver,Finisher,"Attacks all enemies. Places a 50% [Increase ATK] buff on this Champion for 2 turns before attacking. If the target has a [Weaken] debuff, places a 60% [Decrease DEF] debuff on the target for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Cooldown -1"
Spider,Possess,Attacks 1 enemy. Has a 50% chance of removing 1 random buff from the target.<br>Damage based on: [ATK]<br>Lvl. 2 Buff/Debuff Chance +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +5%
Spider,Calamity,Attacks all enemies. Decreases the duration of all buffs by 1 turn. Has a 50% chance of placing a 50% [Decrease ATK] debuff for 2 turns.<br>Damage based on: [ATK] [HP]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +15%<br>Lvl. 6 Cooldown -1
Spider,Glowing Mark,Has a 60% chance of placing a 60% [Decrease DEF] debuff all enemies for 2 turns. Has a 30% chance of placing a 15% [Weaken] debuff on all enemies for 1 turn.<br>Lvl. 2 Buff/Debuff Chance +10%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
Warden,Deathmark,Attacks 1 enemy. Has a 40% chance of placing a 15% [Weaken] debuff for 1 turn. Damage inflicted is proportional to DEF.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Buff/Debuff Chance +20%<br>Lvl. 7 Damage +10%<br>Lvl. 8 Buff/Debuff Chance +20%
Warden,Rending Flames,Attacks all enemies. Has a 50% chance of placing a 25% [Decrease ATK] debuff for 2 turns. Places a 30% [Increase DEF] buff on all allies for 2 turns. Damage inflicted is proportional to DEF.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Damage +10%<br>Lvl. 7 Cooldown -1
Warden,Wall of Thorns,Places a 30% [Reflect Damage] buff on all allies for 2 turns.<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1<br>Lvl. 6 Cooldown -1<br>Lvl. 7 Cooldown -1
Coldheart,Flurry of Arrows,Attacks 4 times at random. Each hit has a 25% chance of placing a 100% [Heal Reduction] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Damage +10%
Coldheart,Art of Pain,Attacks all enemies. Has a 30% chance of placing a 50% [Decrease ACC] debuff for 1 turn. Places a 5% [Poison] debuff for 2 turns if the target is under a [Heal Reduction] debuff.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Cooldown -1
Coldheart,Heartseeker,Attacks 1 enemy. Fully depletes the Turn Meter. Has an extra 30% chance of inflicting a critical hit. Damage increases according to enemy MAX HP.<br>Damage based on: [Enemy MAX HP] [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Damage +15%<br>Lvl. 5 Cooldown -1
Kael,Dark Bolt,Attacks 1 enemy. Has an 80% chance of placing a 2.5% [Poison] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Damage +10%
Kael,Acid Rain,Attacks all enemies. Has an extra 15% chance of inflicting a critical killed.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Kael,Disintegrate,Attacks 4 times at random. Has a 40% chance of placing a 5% [Poison] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Cooldown -1
Paragon,Power Drain,Attacks 1 enemy. Has a 50% chance of decreasing the target's Turn Meter by 10%. Damage inflicted is proportional to DEF.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Paragon,Damage Control,Places an [Unkillable] buff and a 25% [Increase ATK] buff on a target ally for 2 turns.<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1
Paragon,Life Shackles,Attacks 3 times at random. Each hit has a 30% chance of placing a 100% [Heal Reduction] debuff and a 50% [Decrease ATK] debuff for 2 turns. Damage inflicted is proportional to DEF.<br>Damage based on: [DEF]<br>Lvl. 2 Buff/Debuff Chance +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Cooldown -1
Spirithost,Reap,Attacks 1 enemy. Heals by 50% of the damage inflicted.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Spirithost,Strengthen,Places a 50% [Increase ATK] buff on all allies for 2 turns.<br>Lvl. 2 Cooldown -1
Spirithost,Dark Gift,Removes all debuffs on all allies. Places a [Block Debuffs] buff on all allies for 1 turn.<br>Lvl. 2 Cooldown -1
Hexweaver,Curse,Attacks 1 enemy. Has a 50% chance of placing a 25% [Decrease ACC] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Buff/Debuff Chance +10%
Hexweaver,Dark Embrace,Heals all allies by 15% of their MAX HP.<br>Lvl. 2 Heal +10%<br>Lvl. 3 Heal +10%<br>Lvl. 4 Heal +10%<br>Lvl. 5 Cooldown -1
Hexweaver,Wings of Doom,Places a 30% [Increase C. RATE] buff and a 15% [Increase SPD] buff on all allies for 2 turns.<br>Lvl. 2 Cooldown -1<br>Lvl. 3 Cooldown -1
Judge,Eviscerate,"Attacks 1 enemy. Damage increases by 10% for each debuff on the target, stacking up to a maximum of 100%.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%"
Judge,Blade Dance,Attacks all enemies 2 times. Fills the Turn Meter by 10% for each critical hit.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Judge,Chaos Armor,"Each time this Champion is hit, has a 30% chance of placing a 50% [Decrease ACC] debuff OR a 30% [Decrease SPD] debuff OR a 50% [Decrease ATK] debuff OR a 60% [Decrease DEF] debuff on the attacker for 1 turn."
Mystic Hand,Tainted Blade,Attacks 1 enemy. Has a 30% chance of placing a [Block Buffs] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Buff/Debuff Chance +5% Lea stl)
Mystic Hand,Turn the Tide,Attacks 1 enemy. Steals 2 random buffs from the target.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Mystic Hand,Soul Link,"Heals the ally with the lowest HP by 25%, then equalizes the HP levels of all allies.<br>Lvl. 2 Heal +5%<br>Lvl. 3 Heal +5%<br>Lvl. 4 Heal +10%<br>Lvl. 5 Cooldown -1"
Retainer,Sundering Chop,Attacks 1 enemy. Has a 40% chance of placing a 30% [Decrease DEF] debuff for 2 turns.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5% Lvi. 4 Buff/Debuff Chance +10%
Retainer,Resolute Stance,Heals this Champion by 40% of their MAX HP and places a [Counterattack] buff on this Champion for 2 turns.<br>Lvl. 2 Heal +5%<br>Lvl. 3 Heal +5%<br>Lvl. 4 Heal +5%<br>Lvl. 5 Cooldown -1
Retainer,Hypnotize,"Attacks 1 enemy. Decreases the target's Turn Meter by 50%. If the target's Turn Meter is fully depleted, places a [Sleep] debuff on them for 1 turn.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Damage +10%<br>Lvl. 6 Cooldown -1"
Wanderer,Lay On,Attacks 1 enemy. Has a 30% chance of placing a 15% [Weaken] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Damage +10%<br>Lvl. 7 Buff/Debuff Chance +10% Ap a
Wanderer,Blade Symphony,Attacks 1 enemy 2 times. Decreases the target's Turn Meter by 10% if this attack is critical. Fills this Champion's Turn Meter by 10% if this attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Cooldown -1
Wanderer,Pierce Through,Attacks 1 enemy. Will ignore 25% of the target's DEF.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1
Eviscerator,Blled Dry,
Eviscerator,Lethal Confusion,
Eviscerator,Suppression (P),
Harvester,Destabilize,Attacks 1 enemy 2 times. Has a 35% chance of placing a 15% [Weaken] debuff for 2 turns.<br>Damage based on: [ATK]
Harvester,Accursed Scythe,Attacks 1 enemy. Has an 80% chance of placing a [Block Buffs] debuff for 2 turns.<br>Damage based on: [ATK]
Harvester,Temporal Burst,Attacks 1 enemy. Has a 90% chance of increasing the cooldown of one of the target's Skills by 2 turns at random.<br>Damage based on: [ATK]
Pain Keeper,Unflagging Advance,
Pain Keeper,Spectacular Sweep,
Pain Keeper,Combat Tactics,
Steel Bowyer,Binding Arrows,Attacks 1 enemy 2 times. Has a 35% chance of placing a 50% [Decrease ACC] for 2 turns
Steel Bowyer,Thrill of the Hunt,Attacks 1 enemy 2 times. Heals this Champion by 50% of the damage inflicted on each critical hit
Steel Bowyer,Big Game,Attacks all enemies 3 times
Heartpiercer,Perforate,Attacks 1 enemy.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Heartpiercer,Sight In,"Attacks 1 enemy. If the hit is critical, places a 25% [Increase ATK] buff on this Champion for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%<br>Lvl. 6 Cooldown -1"
Redeemer,Split,Attacks 1 enemy. Places a 25% [Increase ATK] buff on this Champion for 1 turn if this attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Redeemer,Elven Blade,Attacks 1 enemy. Has a 50% chance of placing a 2.5% [Poison] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +15%<br>Lvl. 6 Cooldown -1
Sniper,Double Shot,Attacks 1 enemy 2 times. Has an extra 15% chance of inflicting a critical hit. Fills this Champion's Turn Meter by 15% on each critical hit.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Sniper,Rain of Arrows,Attacks all enemies 2 times. Has a 10% chance of placing a 15% [Decrease SPD] debuff for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Cooldown -1<br>Lvl. 4 Buff/Debuff Chance +5%<br>Lvl. 5 Damage +10%<br>Lvl. 6 Buff/Debuff Chance +5%<br>Lvl. 7 Damage +15%<br>Lvl. 8 Buff/Debuff Chance +5%
Magekiller,Harry,Attacks 1 enemy. Has a 10% chance of putting the target's skills on cooldown.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Ranger,Pin,Attacks 1 enemy. Has a 20% chance of placing a 15% [Decrease SPD] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%
Ranger,Multi-Shot,Attacks all enemies.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1
Drexthar Bloodtwin,Eldritch Flames,Attacks 1 enemy 3 times. Has a 30% chance of placing an [HP Burn] for 2 turns. Heals this Champion by 20% of the damage inflicted if the target is afflicted by a [HP Burn] debuff.<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%
Drexthar Bloodtwin,Burning Lash,Attacks all enemies. Has a 40% chance of placing a [Provoke] debuff for 1 turn.<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
Drexthar Bloodtwin,Fiery Blood (P),Has a 55% chance of placing a [HP Burn] debuff when hit.<br>Lvl. 2 Buff/Debuff Chance +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +10%
Mortu-Macaab,Stigmata,Attacks 1 enemy. Has a 60% chance of placing a 100% [Heal Reduction] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Damage +15%<br>Lvl. 6 Buff/Debuff Chance +15%
Mortu-Macaab,Falling from Grace,Attacks all enemies 2 times. Places a [Block Buffs] debuff for 2 turns on targets under [Heal Reduction] debuffs. Each hit has a 50% chance of placing a [Block Buffs] debuff for 2 turns against targets not under [Heal Reduction] debuffs.<br>Damage based on: [ATK] [HP]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Cooldown -1
Mortu-Macaab,Fiery Rage,"Has a 10% chance to unlock a secret skill, Peril, for 1 turn. Also has a 20% chance to fill this Champion's Turn Meter by 25% when attacked."
Mortu-Macaab,Peril,Attacks 1 enemy 2 times. Will ignore [Shield] and [Block Damage] buffs as well as DEF. Enemies killed by this skill cannot be revived.<br>Damage based on: [HP]
Prince Kymar,Phantom Fire,Attacks all enemies. Places a 5% [Poison] debuff for 1 turn if this attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Prince Kymar,Abyssal Gaze,Attacks all enemies. Removes all buffs. Places a [Sleep] debuff for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Damage +10%<br>Lvl. 4 Cooldown -1<br>Lvl. 5 Cooldown -1
Prince Kymar,Seal of Magic,Resets the cooldowns of all ally skills. Fills the Turn Meter of all allies except this Champion by 20%.<br>Lvl. 2 Cooldown -1
Lord Shazar,Damnation,Attacks 1 enemy 3 times. Damage increases by 15% for each debuff on the target.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Lord Shazar,Everlasting Fury,Places a 50% [Increase ATK] buff on this Champion for 2 turns. This buff cannot be removed. Places a [Block Debuffs] buff on this Champion for 2 turns. Grants an Extra Turn. 9g Block Debuffs<br>Lvl. 2 Cooldown -1
Lord Shazar,Cruel Fate,Attacks all enemies. Has a 75% chance of placing 2 [Bomb] debuffs that detonate after 2 turns. Decreases the detonation countdown by 1 turn if this attack is critical.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +10%<br>Lvl. 3 Buff/Debuff Chance +10%<br>Lvl. 4 Buff/Debuff Chance +15%<br>Lvl. 5 Damage +15%<br>Lvl. 6 Cooldown -1
Cruetraxa,Dire Perforation,Attacks 1 enemy 4 times. Ignores 50% of enemy DEF
Cruetraxa,Curse of Writhing,Attacks 1 enemy. Has a 50% chance of placing a 25% [Weaken] debuff for 2 turns. Has a 50% chance of removing 2 random buffs from the target. Grants an Extra Turn
Cruetraxa,Rite of Rebirth,Places a [Revive on Death] buff on this Champion for 2 turns at the beginning of each round. Places [Revive on Death] buff on this Champion for 1 turn when this Champion kills an enemy. (Does not occur with Spiderlings)
Inithwe Bloodtwin,Vitality Censure,Attacks 1 enemy. Decreases the target's MAX HP by 30% of the damage inflicted
Inithwe Bloodtwin,No Mercy,Attacks 1 enemy 3 times. Damage increases equal to the percentage of HP the target has lost
Inithwe Bloodtwin,Tormenting Whispers,Attacks all enemies. Has an 80% chance of placing a 10% [Leech] debuff for 2 turns
Inithwe Bloodtwin,Final Doom,Heals this Champion by 30% of their MAX HP each time they kill an enemy. Enemies killed by this Champion cannot be revided
Alure,Psychic Whip,Attacks 3 times at random. Decreases the target's Turn Meter by 25% on each critical hit.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Alure,Temptation,Attacks all enemies 2 times. Each hit has a 30% chance of placing a 30% [Decrease DEF] debuff for 1 turn. Places a [Sleep] debuff for 1 turn on targets under [Decrease DEF] debuffs.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Cooldown -1<br>Lvl. 7 Buff/Debuff Chance +10%
Alure,Hellish Blaze,Attacks 1 enemy. Has an extra 30% chance of inflicting a critical hit. Will ignore 50% of the target's DEF.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%
Nazana,Dark Lance,Attacks all enemies.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Nazana,Unholy Contract,Places a 50% [Ally Protection] buff on all allies for 2 turns. Places a [Shield] buff on this Champion for 2 turns. The value of the [Shield] is equal to 40% of this Champion's MAX HP.<br>Lvl. 2 Shield +5%<br>Lvl. 3 Shield +5%<br>Lvl. 4 Cooldown -1
Nazana,Steel Breaker,Attacks all enemies. Has a 50% chance of placing a 50% [Decrease ATK] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +15%<br>Lvl. 6 Cooldown -1<br>Lvl. 7 Cooldown -1
Erinyes,Razor Claws,Attacks 1 enemy. Has a 30% chance of placing a 5% [Poison] debuff for 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Buff/Debuff Chance +5%<br>Lvl. 6 Damage +10%
Erinyes,Almighty Curse,Attacks all enemies. Has a 75% chance of increasing the duration of all debuffs on the target by 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Buff/Debuff Chance +10%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
Erinyes,Engulfing Flame,Attacks 1 enemy. Places a [Block Buffs] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Hellgazer,Soul Rend,Attacks 1 enemy. Has a 30% chance of placing a 60% [Decrease DEF] debuff for 2 turns.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +10%
Hellgazer,Dark Awakening,Removes all debuffs from this Champion. Places a 50% [Increase ATK] buff on this Champion for 2 turns. Grants an Extra Turn.<br>Lvl. 2 Cooldown -1
Hellgazer,Malign Lightning,Attacks all enemies. On each critical hit fills this Champion's Turn Meter by 10%.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Cooldown -1
Peydma,Agonize,Attacks 1 enemy 2 times. Has a 25% chance of placing a 25% [Decrease ATK] debuff on the target for 2 turns.<br>Damage based on: [DEF] [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Buff/Debuff Chance +10%
Peydma,Flesh Warp,Attacks all enemies. Has a 35% chance of placing a 50% [Decrease ACC] debuff for 2 turns.<br>Damage based on: [DEF] [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Buff/Debuff Chance +5%<br>Lvl. 4 Damage +10%<br>Lvl. 5 Buff/Debuff Chance +10%<br>Lvl. 6 Cooldown -1
Peydma,Appropriate,Attacks 1 enemy. Removes all buffs from the target and places them on this Champion.<br>Damage based on: [DEF]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Cooldown -1<br>Lvl. 5 Damage +10%<br>Lvl. 6 Cooldown -1
Souldrinker,Razing Hand,Attacks 1 enemy. Decreases [Bomb] debuff detonation countdowns by 1 turn.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
Souldrinker,Raining Fire,Attacks 3 times at random. Decreases [Bomb] debuff detonation countdowns by 1 turn if the target has a [Poison] debuff.<br>Damage based on: [ATK]<br>Lvl. 2 Damage +5%<br>Lvl. 3 Damage +5%<br>Lvl. 4 Damage +5%<br>Lvl. 5 Damage +5%
